IDs         length   Exptl.  resolution  R-factor FreeRvalue
3QHBA       179      XRAY        1.200    0.10    0.12
2Q3TA       157      XRAY        1.600    0.14    0.17
5TZ5A       296      XRAY        1.430    0.19    0.21
1LUCA       355      XRAY        1.500    0.18    1.00
4O1RA       142      XRAY        1.400    0.16    0.19
4ZOTA       168      XRAY        1.400    0.12    0.17
4H6QA       312      XRAY        1.360    0.15    0.18
1WN2A       121      XRAY        1.200    0.19    0.21
3ZR8X        65      XRAY        0.900    0.13    0.15
4U0OB       296      XRAY        1.600    0.20    0.24
3HLXA       258      XRAY        1.300    0.17    0.20
1OH0A       131      XRAY        1.100    0.22    0.22
1K5NA       276      XRAY        1.090    0.12    0.15
1H99A       224      XRAY        1.550    0.22    0.24
4MYKA       316      XRAY        1.520    0.15    0.16
1A4IA       301      XRAY        1.500    0.20    0.23
4DYQA       140      XRAY        1.500    0.18    0.20
3POWA       265      XRAY        1.550    0.18    0.19
1D8WA       426      XRAY        1.600    0.18    0.24
2PQ7A       220      XRAY        1.450    0.18    0.19
5J1SA       284      XRAY        1.400    0.14    0.19
3PP2A       124      XRAY        1.420    0.17    0.19
4COGA       215      XRAY        1.600    0.15    0.18
1SX5A       244      XRAY        1.500    0.21    0.25
4NBPA       132      XRAY        1.310    0.15    0.18
4H5IA       365      XRAY        1.360    0.18    0.20
4BQYA       252      XRAY        1.530    0.21    0.23
1NZ0A       118      XRAY        1.200    0.16    0.22
4UQWA       163      XRAY        1.500    0.16    0.18
4JM1A        84      XRAY        1.400    0.13    0.17
4W9ZA       139      XRAY        1.300    0.11    0.13
3GNLA       244      XRAY        1.500    0.20    0.22
4JDUA       215      XRAY        1.470    0.18    0.20
2YMVA       330      XRAY        1.600    0.12    0.15
4HI7A       228      XRAY        1.250    0.20    0.23
5THXA       266      XRAY        1.550    0.16    0.19
5I2HA       364      XRAY        1.550    0.16    0.20
4XZFA       122      XRAY        1.380    0.17    0.21
1HDOA       206      XRAY        1.150    0.12    0.16
4NECA       264      XRAY        1.500    0.15    0.19
4LD1A       184      XRAY        1.440    0.15    0.18
3T0HA       228      XRAY        1.200    0.15    0.17
5KKOA        55      XRAY        1.550    0.17    0.21
5A0NA       220      XRAY        1.300    0.12    0.15
5IQNA       132      XRAY        1.000    0.12    0.15
1YB3A       175      XRAY        1.600    0.20    0.23
4MXTA       190      XRAY        1.400    0.14    0.17
4JGIA       211      XRAY        1.500    0.15    0.19
3U81A       221      XRAY        1.130    0.14    0.16
5EIPA       134      XRAY        1.490    0.20    0.23
3C3YA       237      XRAY        1.370    0.19    0.22
4A9VA       592      XRAY        1.100    0.12    0.12
3MCWA       198      XRAY        1.060    0.13    0.15
4LJOA       223      XRAY        1.560    0.18    0.21
2BWRA       401      XRAY        1.500    0.16    0.18
1O7IA       119      XRAY        1.200    0.19    0.22
2VZCA       131      XRAY        1.050    0.14    0.16
1JX6A       342      XRAY        1.500    0.22    0.24
4HFSA       212      XRAY        1.550    0.19    0.22
4ZV0A       163      XRAY        1.400    0.15    0.16
4XFJA       408      XRAY        1.550    0.14    0.18
2X46A       144      XRAY        1.000    0.14    0.16
3MEAA       180      XRAY        1.260    0.18    0.20
2QRLA       394      XRAY        1.600    0.21    0.24
5T1IA        68      XRAY        1.600    0.20    0.24
2F01A       127      XRAY        0.850    0.15    0.17
3G02A       408      XRAY        1.500    0.18    0.20
4YECA       126      XRAY        1.120    0.16    0.19
5ANPA       277      XRAY        1.400    0.18    0.19
3Q28A       393      XRAY        1.600    0.15    0.17
4XFMA       464      XRAY        1.550    0.17    0.19
5TKWA       237      XRAY        1.350    0.15    0.18
4PDYA       351      XRAY        1.350    0.13    0.17
4P5NA        77      XRAY        1.490    0.14    0.18
3HYNA       189      XRAY        1.200    0.12    0.14
4F0WA       188      XRAY        1.240    0.18    0.19
3SJMA        64      XRAY        1.350    0.17    0.21
3U9JA       160      XRAY        1.600    0.17    0.22
4KU0D        96      XRAY        1.150    0.14    0.17
1VQSA       116      XRAY        1.500    0.15    0.18
3CTZA       623      XRAY        1.600    0.16    0.20
4OD6A        90      XRAY        1.200    0.18    0.21
5ELBA       103      XRAY        1.080    0.12    0.15
3D4EA       179      XRAY        1.400    0.18    0.20
2NXVA       249      XRAY        1.100    0.14    0.15
3TG7A       951      XRAY        1.570    0.19    0.22
5FPZA       110      XRAY        1.500    0.17    0.20
2IYVA       184      XRAY        1.350    0.14    0.18
5B7EA       526      XRAY        1.420    0.16    0.18
3B0FA        53      XRAY        1.400    0.17    0.20
5EMIA       180      XRAY        1.120    0.14    0.15
3IV4A       112      XRAY        1.500    0.15    0.19
5MBXA       497      XRAY        1.400    0.18    0.20
4X9ZA        50      XRAY        1.500    0.18    0.22
1RK6A       496      XRAY        1.430    0.19    0.20
4PS6A       130      XRAY        1.250    0.12    0.16
4BOQA       183      XRAY        1.470    0.17    0.20
3LHNA       126      XRAY        1.420    0.17    0.18
4QEKA       301      XRAY        1.300    0.13    0.14
1EKQA       272      XRAY        1.500    0.22    0.25
3S6EA       114      XRAY        0.950    0.12    0.13
2PW0A       397      XRAY        1.570    0.20    0.23
2V3GA       283      XRAY        1.200    0.12    0.14
4A7UA       153      XRAY        0.980    0.14    0.15
1T1UA       639      XRAY        1.550    0.17    0.23
1JEKA        42      XRAY        1.500    0.21    0.27
3B5NC        70      XRAY        1.600    0.21    0.25
2E4TA       519      XRAY        0.960    0.13    0.15
2WOLA       562      XRAY        1.450    0.19    0.20
4QY7A        93      XRAY        1.550    0.19    0.22
4W8HA       129      XRAY        1.140    0.14    0.17
2YZYA       200      XRAY        1.600    0.23    0.25
5F30A       548      XRAY        1.450    0.14    0.17
4IIYA       371      XRAY        1.200    0.16    0.17
3AIAA       211      XRAY        1.400    0.19    0.22
3OM0A       393      XRAY        1.400    0.18    0.20
5MN4A       305      XRAY        1.500    0.18    0.21
3OMDA       145      XRAY        1.500    0.15    0.19
5KLAA       337      XRAY        1.140    0.16    0.17
3K1UA       330      XRAY        1.550    0.14    0.16
4WLHA       422      XRAY        1.280    0.17    0.19
2UYTA       489      XRAY        1.550    0.18    0.21
3ESSA       230      XRAY        1.190    0.13    0.15
3B0XA       575      XRAY        1.360    0.17    0.20
3EN0A       291      XRAY        1.500    0.16    0.18
2JCBA       200      XRAY        1.600    0.19    0.24
4WEEA       144      XRAY        0.890    0.15    0.16
2PIEA       138      XRAY        1.350    0.18    0.20
3CIJA       295      XRAY        1.070    0.13    0.15
1ROCA       155      XRAY        1.500    0.20    0.25
1UCSA        64      XRAY        0.620    0.14    0.15
3Q64A       162      XRAY        1.500    0.18    0.20
3A0SA        96      XRAY        1.470    0.21    0.23
5IO9A       106      XRAY        1.300    0.19    0.21
3QHPA       166      XRAY        1.500    0.20    0.23
4A3PA       217      XRAY        1.400    0.16    0.22
1EB6A       177      XRAY        1.000    0.10    0.13
5JDAA       359      XRAY        1.400    0.17    0.18
2JKHL        55      XRAY        1.250    0.20    0.22
3TKFA       345      XRAY        1.500    0.14    0.16
3PSMA        47      XRAY        0.980    0.12    0.16
1LQTA       456      XRAY        1.050    0.13    0.15
2B9DA        52      XRAY        1.600    0.21    0.25
4XB4A       152      XRAY        1.540    0.15    0.16
1CC8A        73      XRAY        1.020    0.14    0.17
1UTGA        70      XRAY        1.340    0.23    1.00
4MYZA        79      XRAY        1.500    0.18    0.20
1R9LA       309      XRAY        1.590    0.15    0.19
2X3MA       239      XRAY        1.450    0.18    0.20
4IUMA       142      XRAY        1.450    0.16    0.18
2D3DA        88      XRAY        1.600    0.21    0.26
2F22A       144      XRAY        1.420    0.16    0.18
3G36A        55      XRAY        1.200    0.20    0.23
3GP6A       163      XRAY        1.400    0.17    0.21
1KQ6A       141      XRAY        1.180    0.13    0.18
2CZSA        80      XRAY        1.500    0.22    0.27
3ON9A       163      XRAY        1.570    0.17    0.20
4YLQT       219      XRAY        1.400    0.14    0.17
1W66A       232      XRAY        1.080    0.12    0.15
4NOAA       112      XRAY        1.250    0.16    0.17
3U25A       127      XRAY        1.180    0.20    0.22
2XQQA        89      XRAY        1.310    0.12    0.16
1KNMA       130      XRAY        1.200    0.13    0.17
2VH3A       113      XRAY        1.160    0.22    0.24
5K4BA       368      XRAY        1.400    0.17    0.19
3MU7A       273      XRAY        1.290    0.15    0.17
1YT3A       375      XRAY        1.600    0.20    0.22
2R2ZA        93      XRAY        1.200    0.15    0.17
4YTLA        99      XRAY        1.600    0.19    0.20
3FDEA       212      XRAY        1.410    0.15    0.19
1Y6XA        93      XRAY        1.250    0.18    0.21
1J34C        46      XRAY        1.550    0.18    0.21
5C40A       330      XRAY        1.500    0.13    0.18
2WWXB       217      XRAY        1.500    0.21    0.23
3B79A       129      XRAY        1.370    0.16    0.18
4AFMA       134      XRAY        1.250    0.16    0.17
4OPCA       453      XRAY        1.400    0.15    0.18
2FGQX       332      XRAY        1.450    0.15    0.17
4ALZA       198      XRAY        1.400    0.19    0.23
1ES9A       232      XRAY        1.300    0.19    0.22
4Z7XA       238      XRAY        1.550    0.13    0.18
5B7FA       492      XRAY        1.450    0.15    0.18
3OFGA        95      XRAY        1.370    0.15    0.17
1Z2UA       150      XRAY        1.100    0.13    0.15
5DLEA       113      XRAY        1.550    0.16    0.19
3QX1A        84      XRAY        1.600    0.21    0.22
3TJ8A       170      XRAY        1.590    0.19    0.21
1JOVA       270      XRAY        1.570    0.21    0.26
4QHQA       241      XRAY        1.400    0.17    0.20
3CKMA       327      XRAY        1.350    0.16    0.19
3FMYA        73      XRAY        1.400    0.16    0.18
3M1XA       148      XRAY        1.200    0.11    0.13
5PHLA       364      XRAY        1.140    0.15    0.18
1UFYA       122      XRAY        0.960    0.11    0.13
3H5JA       171      XRAY        1.200    0.13    0.17
3U7ZA       101      XRAY        1.300    0.14    0.19
1JFBA       404      XRAY        1.000    0.10    0.14
2QSKA        95      XRAY        1.000    0.13    0.15
2W39A       298      XRAY        1.100    0.14    0.15
3W61A       108      XRAY        1.590    0.18    0.21
3CIMA        99      XRAY        1.300    0.17    0.22
4Y7LA       240      XRAY        1.510    0.19    0.20
5EWUA       388      XRAY        1.250    0.17    0.18
1JYKA       254      XRAY        1.500    0.22    0.24
4X33B       333      XRAY        1.450    0.15    0.18
3WVAA       170      XRAY        1.400    0.15    0.19
4RK4A       283      XRAY        1.320    0.13    0.15
2F5TX       233      XRAY        1.450    0.16    0.20
5FD9A       139      XRAY        1.600    0.21    0.23
3BS4A       260      XRAY        1.600    0.18    0.21
3ILWA       470      XRAY        1.600    0.18    0.20
3LYHA       126      XRAY        1.600    0.17    0.21
3CXNA       274      XRAY        1.550    0.19    0.21
1PZ4A       116      XRAY        1.350    0.19    0.23
1KKOA       413      XRAY        1.330    0.16    0.19
1YG9A       330      XRAY        1.300    0.18    0.21
3COVA       301      XRAY        1.500    0.17    0.20
2OPLA       187      XRAY        1.500    0.15    0.17
5JBXA       261      XRAY        1.100    0.13    0.14
4YPOA       333      XRAY        1.000    0.15    0.16
3DO8A       148      XRAY        1.600    0.17    0.21
3QPAA       197      XRAY        0.850    0.12    0.12
1DG6A       191      XRAY        1.300    0.14    0.20
1H97A       147      XRAY        1.170    0.12    0.17
2GKGA       127      XRAY        1.000    0.09    0.12
5AIGA       125      XRAY        1.160    0.11    0.13
3DLCA       219      XRAY        1.150    0.12    0.14
4H4NA        67      XRAY        1.100    0.15    0.18
3TDUC        77      XRAY        1.500    0.21    0.23
3RO3A       164      XRAY        1.100    0.12    0.15
4B5OA       200      XRAY        1.050    0.13    0.16
2FRGP       106      XRAY        1.190    0.18    0.19
4IX3A       350      XRAY        1.350    0.14    0.17
3D59A       383      XRAY        1.500    0.14    0.19
3UEJA        65      XRAY        1.300    0.14    0.16
1WMHB        86      XRAY        1.500    0.22    0.22
3MR0A       142      XRAY        1.490    0.17    0.19
4EBJA       272      XRAY        1.600    0.17    0.19
5GGNA       164      XRAY        1.210    0.14    0.17
4HDDA        79      XRAY        1.350    0.16    0.18
1VK1A       242      XRAY        1.200    0.17    0.17
3ZUCA       153      XRAY        1.000    0.12    0.14
3GOCA       237      XRAY        1.600    0.18    0.19
4Z5SA       231      XRAY        1.580    0.17    0.21
2O2XA       218      XRAY        1.500    0.14    0.17
3F14A       112      XRAY        1.450    0.17    0.18
2RFVA       398      XRAY        1.350    0.15    0.18
5EWOA       228      XRAY        0.950    0.13    0.14
4BOUA       160      XRAY        1.550    0.18    0.23
4CS4A       274      XRAY        1.350    0.15    0.18
2FAOA       309      XRAY        1.500    0.21    0.21
1XQOA       256      XRAY        1.030    0.16    0.18
4QPNA       227      XRAY        1.250    0.12    0.17
4ZJHA       208      XRAY        1.600    0.18    0.22
2I49A       429      XRAY        1.350    0.18    0.19
1WERA       334      XRAY        1.600    0.22    0.27
5B1AA       514      XRAY        1.500    0.15    0.17
3WMVA       153      XRAY        1.050    0.14    0.15
1L9XA       315      XRAY        1.600    0.18    0.20
5C9OA       381      XRAY        1.500    0.13    0.15
3T94A       270      XRAY        1.450    0.17    0.18
3CT6A       131      XRAY        1.100    0.15    0.18
3BEXA       249      XRAY        1.510    0.19    0.21
4V3IA       257      XRAY        1.500    0.18    0.19
4N2PA       143      XRAY        1.440    0.14    0.18
5CTMA       233      XRAY        1.000    0.13    0.14
3IFNP        40      XRAY        1.500    0.19    0.21
3OE3A        98      XRAY        1.510    0.21    0.24
2COVD       104      XRAY        1.250    0.15    0.17
3ITQA       216      XRAY        1.400    0.20    0.21
5JAZA       422      XRAY        1.400    0.19    0.21
3F43A       125      XRAY        1.590    0.18    0.21
2Z98A       200      XRAY        1.400    0.19    0.22
2X5XA       342      XRAY        1.200    0.14    0.18
5FB7A       155      XRAY        1.500    0.19    0.22
4LRUA       239      XRAY        1.600    0.16    0.18
4WZXA        95      XRAY        1.390    0.15    0.18
2ZHJA       322      XRAY        1.350    0.14    0.20
3BHQA       211      XRAY        1.540    0.17    0.19
5FKTA       733      XRAY        1.520    0.17    0.19
1LKKA       105      XRAY        1.000    0.13    1.00
3PPLA       427      XRAY        1.250    0.11    0.12
2CIBA       455      XRAY        1.500    0.20    0.23
1Q6ZA       528      XRAY        1.000    0.12    0.14
3T7HA       291      XRAY        1.600    0.19    0.21
5F7GA       133      XRAY        1.480    0.21    0.25
2FHZA       109      XRAY        1.150    0.20    0.20
2IA7A       134      XRAY        1.440    0.17    0.20
3QVPA       583      XRAY        1.200    0.18    0.19
1Z0WA       207      XRAY        1.200    0.14    0.18
5ICUA       102      XRAY        1.460    0.17    0.19
3IISM       151      XRAY        1.400    0.15    0.19
4JF8A       179      XRAY        1.350    0.15    0.17
4UHTA       102      XRAY        1.150    0.13    0.16
5FAGA       410      XRAY        1.510    0.20    0.23
2JISA       515      XRAY        1.600    0.15    0.18
2O7AA       124      XRAY        0.840    0.09    0.11
5B1AH        85      XRAY        1.500    0.15    0.17
1C1DA       355      XRAY        1.250    0.20    0.24
1DJ0A       264      XRAY        1.500    0.16    0.22
1DS1A       324      XRAY        1.080    0.14    0.17
5KO9A       277      XRAY        1.500    0.18    0.21
3GNEA       252      XRAY        1.200    0.13    0.18
2EGVA       229      XRAY        1.450    0.22    0.24
2XN6A       350      XRAY        1.290    0.21    0.23
4XLZA       267      XRAY        1.510    0.15    0.17
3WW9A       256      XRAY        1.330    0.16    0.19
3LO8A       311      XRAY        1.050    0.12    0.15
2NZLA       392      XRAY        1.350    0.13    0.15
2CARA       196      XRAY        1.090    0.10    0.15
4KEFA       143      XRAY        1.100    0.13    0.14
4QXLA       120      XRAY        1.510    0.20    0.23
2OA2A       148      XRAY        1.410    0.17    0.19
1QNRA       344      XRAY        1.400    0.12    0.17
4CD5A       419      XRAY        1.100    0.15    0.17
1KQFC       217      XRAY        1.600    0.18    0.20
3NR5A       164      XRAY        1.550    0.19    0.21
5CGQA       268      XRAY        1.180    0.14    0.16
3MILA       240      XRAY        1.600    0.19    0.22
2WFWA       153      XRAY        1.600    0.21    0.25
4LTTA        93      XRAY        1.280    0.18    0.21
3G21A        77      XRAY        0.900    0.12    0.14
5KVGE       110      XRAY        1.400    0.15    0.18
3VIIA       487      XRAY        0.970    0.13    0.14
3I2KA       587      XRAY        1.510    0.15    0.15
2WK1A       282      XRAY        1.400    0.15    0.16
2EHPA       126      XRAY        1.300    0.23    0.24
2WZBA       416      XRAY        1.470    0.16    0.19
3MSTA       244      XRAY        1.350    0.12    0.15
2HMJA       449      XRAY        1.500    0.16    0.19
2W1JA       212      XRAY        1.240    0.17    0.18
4EGUA       119      XRAY        0.950    0.14    0.15
2QAPA       391      XRAY        1.590    0.17    0.20
2V33A        91      XRAY        1.550    0.20    0.23
4HLSA       132      XRAY        1.450    0.15    0.18
4L2IA       346      XRAY        1.450    0.15    0.21
4DT5A       143      XRAY        1.150    0.14    0.16
5CD2A       372      XRAY        1.550    0.14    0.18
1VL7A       157      XRAY        1.500    0.16    0.18
1XG0A        76      XRAY        0.970    0.11    0.13
4Q2SA       143      XRAY        1.350    0.19    0.21
3ZZPA        77      XRAY        0.960    0.11    0.14
4PIOA       323      XRAY        1.510    0.15    0.18
2ZUXA       591      XRAY        1.320    0.17    0.18
5ITMA        48      XRAY        1.400    0.17    0.20
2J5YA        61      XRAY        1.400    0.15    0.20
3LHCA       100      XRAY        1.340    0.20    0.22
4HJIA       175      XRAY        1.600    0.22    0.25
3H6JA       438      XRAY        1.600    0.17    0.19
4KL0A       379      XRAY        1.600    0.20    0.23
3H0NA       188      XRAY        1.450    0.14    0.16
2ZCMA       192      XRAY        1.330    0.19    0.22
3N6ZA       363      XRAY        1.300    0.14    0.16
1SQSA       242      XRAY        1.500    0.20    0.22
5AIMA       100      XRAY        1.400    0.18    0.20
1C4QA        69      XRAY        1.520    0.17    0.19
3VZ9B       106      XRAY        1.030    0.19    0.21
3CUZA       532      XRAY        1.040    0.15    0.17
3H87C        73      XRAY        1.490    0.16    0.17
1C7KA       132      XRAY        1.000    0.15    0.18
5SY4A       199      XRAY        0.980    0.11    0.13
5K8JB       128      XRAY        1.600    0.16    0.17
4X9YA       496      XRAY        1.070    0.11    0.13
4XPXA       130      XRAY        1.030    0.16    0.17
1IFRA       121      XRAY        1.400    0.22    1.00
4I71A       330      XRAY        1.280    0.13    0.15
3WGXA       113      XRAY        0.920    0.14    0.16
5CL8A       241      XRAY        1.380    0.13    0.16
4EAEA       190      XRAY        1.320    0.16    0.18
3S6FA       145      XRAY        1.190    0.14    0.15
2GJ3A       120      XRAY        1.040    0.16    0.19
4E15A       303      XRAY        1.500    0.17    0.20
5C2UA       143      XRAY        1.550    0.18    0.20
3MDUA       453      XRAY        1.400    0.18    0.19
5FUHA       303      XRAY        1.600    0.20    0.23
4JZZA       376      XRAY        1.490    0.17    0.19
3X0IA       170      XRAY        0.910    0.14    1.00
4HWVA       503      XRAY        1.370    0.13    0.15
4WH9A       183      XRAY        1.500    0.13    0.15
4NI6A       150      XRAY        1.100    0.18    0.21
2HW2A       143      XRAY        1.450    0.14    0.18
2IC2A       115      XRAY        1.300    0.21    0.23
4X9XA       299      XRAY        1.200    0.12    0.14
4NOHA       169      XRAY        1.500    0.16    0.20
5HNVA       302      XRAY        1.410    0.18    0.21
1F2TA       149      XRAY        1.600    0.19    0.23
2NVHA       153      XRAY        1.530    0.21    1.00
4JEJA       244      XRAY        1.520    0.18    0.20
2R6JA       318      XRAY        1.500    0.20    0.23
2J9WA       102      XRAY        1.300    0.20    0.23
3SIGA       277      XRAY        1.280    0.15    0.16
1K3XA       262      XRAY        1.250    0.15    0.18
1ATGA       231      XRAY        1.200    0.16    0.18
4BVXA       215      XRAY        1.600    0.22    0.25
2OFZA       138      XRAY        1.170    0.16    0.19
4TZ1A       549      XRAY        1.500    0.10    0.12
4QM6A       171      XRAY        1.500    0.15    0.17
3C9AA       223      XRAY        1.600    0.20    0.24
4R81A       206      XRAY        1.500    0.17    0.21
4HROA        90      XRAY        1.150    0.17    0.17
5EW0A       234      XRAY        1.300    0.16    0.19
2OMLA       189      XRAY        1.200    0.15    0.18
4V0WB        44      XRAY        1.550    0.17    0.20
3FSOA       123      XRAY        1.410    0.18    0.21
3AMRA       355      XRAY        1.250    0.14    0.18
3BUUA       229      XRAY        1.200    0.16    0.19
